City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,ushuaia,-54.806115899999995,-68.3184972880496,8.83,49,0,9.77,AR,1702247235
79,hithadhoo,1.7959425,73.38755195657038,27.76,77,76,2.91,MV,1702247236
80,wenchang,19.5452604,110.7932208,22.92,90,44,3.04,CN,1702247237
81,stanley,-51.6950575,-57.8491693,10.19,87,75,1.54,FK,1702247238
82,darwin,-12.46044,130.8410469,31.13,81,75,0.0,AU,1702246976
83,hamilton,43.2560802,-79.8728583,5.47,72,100,3.09,CA,1702246670
84,juan griego,11.0720749,-63.9651963,26.09,85,10,4.77,VE,1702247242
85,preobrazheniye,42.901529,133.8988366,-11.44,56,16,3.59,RU,1702247243
86,edinburgh of the seven seas,-37.0675894,-12.3108303,13.64,69,97,6.48,SH,1702247244
87,biloela,-24.3997711,150.5141867,23.97,65,94,6.91,AU,1702247245
88,invercargill,-46.4118465,168.3470632,14.64,50,45,5.28,NZ,1702246981
89,petropavlovsk-kamchatsky,53.0199838,158.6471356,2.06,95,100,6.71,RU,1702247247
90,weno,7.4401133999999995,151.85698576823683,27.47,74,100,4.12,FM,1702247249
91,isafjordur,66.0726918,-23.1193541,-2.6,85,100,3.21,IS,1702247251
92,enewetak,11.3408906,162.3245486,27.65,76,98,7.77,MH,1702247252
93,undurkhaan,47.3256114,110.6649133,-19.54,98,100,0.78,MN,1702247253
94,rozaje,42.8416663,20.1659665,0.59,96,100,1.49,ME,1702247254
95,kangding,30.0014182,101.9548235,2.98,86,77,1.27,CN,1702247255
96,urumqi,43.419754,87.319461,-12.3,76,100,1.86,CN,1702247257
97,ndioum,16.510014,-14.647498,24.93,16,1,4.71,SN,1702247257
98,tara,47.3900474,0.6889268,14.07,92,100,5.66,FR,1702247258
99,puerto natales,-51.7262003,-72.5059982,12.32,54,40,6.69,CL,1702247260
100,susuman,62.779732,148.15361,-22.21,99,97,2.68,RU,1702247260
101,hangu,47.065747,26.0405889,-1.71,91,100,1.75,RO,1702247261
102,springbok,-29.6659872,17.8825119,15.95,45,0,2.09,ZA,1702247262
103,kundiawa,-6.0190251,144.9722522,20.3,89,100,0.33,PG,1702247263
104,college,45.32664695,-75.83855656986515,3.95,93,100,3.09,CA,1702247264
105,san antonio de pale,-1.4046406,5.63255,27.47,79,99,5.33,GQ,1702247265
106,rawson,-43.2991348,-65.1056655,26.37,25,11,10.77,AR,1702247266
107,bonne terre,37.9247678,-90.5510587,5.7,41,0,3.49,US,1702247268
108,shiguai,40.6755001,110.0552378,-3.04,98,83,0.73,CN,1702247269
109,mildura,-34.1847265,142.1624972,32.16,26,100,8.56,AU,1702247270
110,callao,-12.0522626,-77.1391133,22.12,68,20,6.17,PE,1702247271
111,lebu,-37.6099644,-73.6559477,14.23,84,100,9.54,CL,1702247273
112,daru,-9.069901,143.210029,25.74,86,100,1.24,PG,1702247274
113,pizarro,4.9537522,-77.366788,27.75,84,100,3.57,CO,1702247275
114,inirida,3.8650368,-67.9259848,27.98,74,40,0.4,CO,1702247277
115,colon,9.3553005,-79.8974085,27.77,85,19,2.24,PA,1702247278
116,punta del este,-34.9632342,-54.9439981,23.09,78,20,4.12,UY,1702247279
117,kone,-21.0608439,164.8619054,27.82,45,98,3.08,NC,1702247280
118,whitehorse,60.721571,-135.054932,-14.55,84,100,1.54,CA,1702247281
119,glace bay,46.1949393,-59.9561999,5.1,81,75,4.12,CA,1702247282
120,swift current,50.2849138,-107.7984496,2.45,51,0,4.63,CA,1702247284
121,vilyuchinsk,52.931834,158.405383,2.17,99,100,4.54,RU,1702247285
122,gawler,-34.5973311,138.7448933,20.68,81,99,5.32,AU,1702247286
123,sydney mines,46.2340189,-60.2239916,5.85,80,75,4.12,CA,1702247287
124,fort saskatchewan,53.7128571,-113.2148942,4.4,72,100,3.13,CA,1702247288
125,bel ombre,-4.6193716,55.4112979,27.63,83,40,1.54,SC,1702247289
126,olonkinbyen,70.9224474,-8.7159894,-4.97,56,46,2.77,SJ,1702247291
